disease_name,disease_id,affected_crops,symptoms,severity,immediate_actions,preventive_measures,chemical_controls,organic_controls,seasonal_risk,spread_mechanism,notes
Rice Bacterial Blight,bacterial_blight_rice,Rice,"Water-soaked lesions on leaf margins turning yellow then white; dried lesions have wave-like margin; kresek stage causes entire young seedlings to wilt and die; creamy bacterial ooze on cut stem ends in water",severe,"Drain flooded fields; reduce nitrogen fertilizer; remove and burn severely infected tillers","Resistant varieties with Xa genes; reduce plant density; avoid excessive nitrogen; use clean seed; disinfect field equipment","Copper hydroxide or Bordeaux mixture; no highly effective bactericide; copper compounds reduce spread","Garlic extract spray; copper sulfate diluted; no fully effective organic treatment","Humid tropical conditions; temperatures 25-34C; flooding promotes infection","Bacteria enter through water pores and wounds; spreads through floodwater and rain splash; persists in soil and weed hosts","Caused by Xanthomonas oryzae; devastating in tropical Asia; once established in a field very hard to eliminate"
Soybean Rust,soybean_rust,Soybean,"Tan-brown lesions with orange-rust pustule visible on leaf underside; upper surface shows small pale spots; severe defoliation; can cause 10-80% yield loss",severe,"Apply fungicide at first sign; scout regularly from R1 flowering to R6 full seed","Resistant varieties with Rpp genes where available; early planting to avoid late season peak; destroy volunteer soybean","Azoxystrobin+Chlorothalonil, Tebuconazole, Pyraclostrobin+Fluxapyroxad (Priaxor); timing at R1-R3 critical","No fully effective organic options; copper fungicides provide partial protection","Late summer and autumn; warm humid conditions 15-28C","Wind-borne urediniospores; long-distance spread possible; requires living host tissue","Caused by Phakopsora pachyrhizi; discovered in Americas in 2001; now present across all major soy-producing regions"
Cotton Leaf Curl Disease,cotton_leaf_curl,Cotton,"Upward curling of leaves; thickened veins; leaf enations (cup-like outgrowths) on leaf underside; stunted plant; reduced boll formation; can cause 80-100% yield loss in severe cases",critical,"Remove and destroy infected plants; control whitefly vector immediately with insecticide; isolate infected fields","Resistant or tolerant varieties; control whitefly Bemisia tabaci using yellow sticky traps and insecticides; remove weed hosts","Imidacloprid or Thiamethoxam systemic insecticide for whitefly control; no cure for infected plants","Neem-based insecticides for whitefly; reflective mulches to repel vectors; yellow sticky traps","Hot dry conditions favor whitefly vector; epidemic seasons vary by region","Transmitted by whitefly Bemisia tabaci; virus not soil-borne; spreads as fast as whitefly moves","Viral disease (Cotton leaf curl virus); management focuses on vector control not the virus itself"
Coffee Leaf Rust,coffee_rust,"Coffee arabica and robusta","Orange-yellow powdery pustules on leaf underside; upper surface shows pale yellow spots; defoliation; bare branches; yield reduction 30-80%",severe,"Apply copper fungicide or triazole; remove severely infected branches; reduce shade to improve airflow; avoid overhead irrigation","Shade management with proper spacing; resistant varieties such as Catimor and Timor hybrid; balanced nutrition; copper preventive sprays from flowering","Copper hydroxide (Kocide), Mancozeb, Triadimefon, Tebuconazole; apply every 21 days during rainy season","Bordeaux mixture classical organic treatment; copper sulfate+lime; wettable sulfur","Rainy season with temperatures 21-25C; high humidity; dense shade canopy","Urediniospores spread by wind and rain; survives on living coffee leaves","Caused by Hemileia vastatrix; devastated Sri Lanka coffee in 1870s; periodic epidemics in Central America"
Downy Mildew,downy_mildew,"Grape, Cucumber, Squash, Melon, Basil, Onion","Yellow oil spots on upper leaf surface; white-grey fuzzy sporulation on underside in humid conditions; brown necrotic lesions; shoot tips may die back in grapes; fruit infection common in cucurbits",severe,"Apply fungicide preventively; remove infected tissue; reduce humidity; drip irrigation instead of overhead","Resistant varieties; remove crop debris; improve drainage; wide spacing; avoid wetting foliage at night","Metalaxyl+Mancozeb (Ridomil Gold), Cymoxanil, Dimethomorph (Forum), Fosetyl-aluminium (Aliette); alternate modes of action to prevent resistance","Bordeaux mixture; copper-based fungicides; Bacillus subtilis (Serenade); phosphonic acid (Agri-Fos) for grapes","Cool wet conditions 12-25C; free water on leaves required for infection; morning dew periods promote sporulation","Sporangia dispersed by wind and water splash; infected seeds carry pathogen; survives in soil for years","Different pathogens cause downy mildew on different hosts; highly host-specific"
Grape Powdery Mildew,powdery_mildew_grape,Grape,"White powdery coating on shoots, leaves, tendrils and berries; berry cracking when infected early; corky patches on berries; reduced fruit quality and quantity; leaves may curl downward",severe,"Apply sulfur or systemic fungicide; avoid excessive shading; improve airflow by canopy management","Resistant varieties; open canopy via leaf removal; pruning for airflow; preventive spray program from bud break","Myclobutanil (Eagle/Nova), Tebuconazole, Quinoxyfen (Elite), Spiroxamine; alternate fungicide classes to prevent resistance","Wettable sulfur most effective organic option; potassium bicarbonate; neem oil; jojoba oil","Warm dry conditions 17-28C; high humidity without rainfall; unlike most fungi does not need free water","Conidia dispersed by wind; mycelium overwinters in infected buds; can spread from single bud to entire vineyard","Caused by Erysiphe necator; critical to protect flowers and young berries in first 3-4 weeks after bloom"
Anthracnose,anthracnose,"Mango, Bean, Avocado, Papaya, Chili, Tomato, Banana","Dark sunken lesions on fruit turning black; pink-salmon spore masses in moist conditions; leaf spots with yellow halo; twig dieback; blossom blight; circular depressed fruit lesions",severe,"Remove all infected fruit and debris; apply copper or systemic fungicide; pick fruit at early maturity to reduce field infection","Postharvest hot-water dip at 52C for 5 min for mango; orchard sanitation; resistant varieties; reduce canopy humidity","Copper oxychloride, Mancozeb, Azoxystrobin, Difenoconazole; apply from flowering through harvest","Bordeaux mixture; copper hydroxide; biological control with Trichoderma; hot water treatment postharvest","Warm wet conditions 25-30C; infection occurs at flowering but symptoms appear postharvest","Rain-splash conidia; wind dispersal; survives on dead wood and infected tissue; latent infection common in mango","Postharvest disease major problem in mangoes; infections are latent meaning invisible at harvest and appear during ripening"
Fire Blight,fire_blight,"Apple, Pear, Quince, Crabapple","Shoot tips wilt and curl into characteristic shepherds crook; flowers and young fruit turn black and shrivel but remain attached; bark water-soaked then sunken and reddish-brown; wood beneath bark shows orange-red discoloration",critical,"Prune infected wood 30 cm below visible infection; sterilize tools between cuts with 10% bleach or 70% ethanol; do not work when wet","Resistant varieties; avoid excess nitrogen; avoid overhead irrigation; copper spray at dormancy; biological sprays at bloom","Streptomycin at bloom where legal; Kasugamycin; copper hydroxide at bud swell; Prohexadione-calcium to reduce shoot vigor","Serenade (Bacillus subtilis) biological control; BlightBan (Pseudomonas fluorescens); copper sprays at dormancy","Warm wet spring weather 24-29C during bloom; any wound or natural opening can be infected","Insect vectors bees and flies; rain and wind spread bacteria from cankers; bacterial ooze infects through flowers and wounds","Bacterial disease caused by Erwinia amylovora; can kill entire orchard in 2 seasons; no cure once wood infected"
Citrus Canker,citrus_canker,"Orange, Lemon, Grapefruit, Lime, all citrus species","Raised corky tan-brown lesions with yellow halo on leaves, fruit, and twigs; lesions on fruit reduce marketability; defoliation in severe cases; premature fruit drop; water-soaked lesions initially",severe,"Remove and destroy infected plant material; apply copper bactericide; notify authorities as this is a regulated pest in many countries","Windbreaks to reduce leaf-to-leaf contact; resistant varieties; avoid movement of plant material; strict sanitation; copper sprays","Copper hydroxide (Kocide), Copper oxychloride; no effective systemic bactericide; spray preventively before wet season","Copper bactericides; Bordeaux mixture; no fully effective organic cure once infected","Wet warm conditions 20-30C; wind-driven rain spreads disease; infection through wounds and natural openings","Bacteria spread by wind-driven rain, insects, contaminated tools; human movement of infected nursery stock causes long-distance spread","Caused by Xanthomonas citri; quarantine disease in many countries; eradication campaigns conducted historically"
Banana Panama Disease,banana_fusarium_wilt,"Banana, Plantain","Yellowing of outer leaves starting from margin; leaves collapse at petiole; internal brown-red discoloration of pseudostem; plant collapse; Tropical Race 4 affects Cavendish the most commercial variety",critical,"Remove and destroy affected plants; do not replant susceptible banana in same area for 10+ years; quarantine affected zones immediately; alert authorities","Resistant varieties such as FHIA hybrids; strict biosecurity and disinfect boots, tools, vehicles; soil solarization; do not take cuttings from affected areas","No fungicide effective; Thiabendazole soil drench provides minimal protection; fumigation with Dazomet occasionally used","Trichoderma and Bacillus subtilis as preventive biocontrol before infection; silicon nutrition to strengthen plants","Any time of year; Fusarium oxysporum f.sp. cubense persists indefinitely in soil","Soil-borne fungus; spreads via infected planting material, contaminated soil, water; TR4 spreads 1-10 km per year through water","TR4 race is a global threat to Cavendish banana production; declared by FAO as major threat to global food security"
Botrytis Gray Mold,gray_mold,"Strawberry, Grape, Tomato, Lettuce, Cucumber, Raspberry","Grey fuzzy sporulation on infected tissue; water-soaked lesions becoming covered in grey spore masses; fruit turns to mush; stem lesions cause wilt above the infection",moderate,"Remove infected fruit and plant parts immediately; improve airflow; reduce humidity; avoid wetting foliage; pick fruit more frequently","Wide plant spacing; stake plants; avoid wounding; remove senescing flowers; plastic mulch; reduce canopy density","Iprodione (Rovral), Fenhexamid (Decree), Boscalid, Cyprodinil+Fludioxonil (Switch); resistance common so rotate modes of action","Trichoderma harzianum; Bacillus subtilis (Serenade); potassium bicarbonate; neem oil; cinnamon oil","Cool wet conditions 15-20C; high humidity above 93%; poor airflow; damage or senescence promotes infection","Airborne conidia in billions per plant; wounds and senescing tissue are entry points; survives as sclerotia in soil","Caused by Botrytis cinerea; ubiquitous saprophyte that turns pathogenic under stress; major postharvest disease of berries"
Sclerotinia White Mold,white_mold,"Soybean, Sunflower, Canola, Bean, Carrot, Lettuce","White cottony mycelium on stems; water-soaked lesions; stems bleach and shred; hard black sclerotia 1-20mm inside and outside stems; crop lodging; hollow pith in stems",severe,"Remove infected plants; avoid overhead irrigation; improve field drainage; reduce plant density","Resistant varieties; crop rotation 3+ years; deep tillage to bury sclerotia; control canopy density","Thiophanate-methyl, Carbendazim, Boscalid (Endura), Fluazinam (Omega); apply at early flowering","Coniothyrium minitans (Contans WG) is biological control agent specific to Sclerotinia sclerotia; apply to soil","Cool moist conditions 15-22C; dense canopy trapping humidity; infection occurs through dead flower petals","Airborne ascospores from soil-level apothecia; sclerotia survive in soil 5-10 years; spreads in contaminated soil and seed","Caused by Sclerotinia sclerotiorum; very wide host range; sclerotia persist indefinitely in soil making eradication impossible"
Angular Leaf Spot,angular_leaf_spot,"Common bean, Cowpea, Lima bean, Cucumber, Cotton","Angular water-soaked lesions bounded by veins turning brown; white bacterial exudate in humid weather; brown lesions with yellow halo; seed discoloration and shriveling; severe defoliation",moderate,"Remove infected leaves; reduce overhead irrigation; avoid field work when plants are wet","Certified disease-free seed; crop rotation 2+ years; resistant varieties; copper spray preventively; avoid wounding plants","Copper hydroxide, Copper oxychloride; bactericides copper-based only; no effective systemic bactericide","Copper-based sprays; Bordeaux mixture","Wet warm conditions 24-32C; rain splash critical for spread","Rain splash and irrigation water; infected seed; contaminated tools; human movement through wet crops","Caused by Pseudomonas syringae or Xanthomonas spp. depending on host; seed transmission makes clean seed programs essential"
Bacterial Spot,bacterial_spot,"Tomato, Pepper, Eggplant","Small water-soaked spots turning dark brown with yellow halo on leaves; raised scabby lesions on fruit reducing marketability; severe defoliation; spots may have greasy appearance initially",moderate,"Reduce overhead irrigation; apply copper bactericide; remove heavily infected plants in severe outbreaks","Copper spray preventive program; resistant varieties; certified seed; crop rotation 2+ years; drip irrigation","Copper hydroxide+Mancozeb; Copper oxychloride; Kasugamycin; preventive application critical as curative effect is minimal","Fixed copper; Bordeaux mixture; neem oil has some bacteriostatic effect","Warm wet conditions 24-30C; rain and high humidity; overhead irrigation promotes spread","Rain splash; wind; contaminated tools and clothing; seed-borne; hands when handling wet plants","Caused by Xanthomonas vesicatoria complex; strains with copper resistance becoming widespread; application timing critical"
Corn Smut,corn_smut,"Corn, Maize","Large galls 1-15 cm on ears, tassels, stalks, and leaves filled with black powdery spores; galls initially white-grey covered by thin membrane; infected plants may be stunted",moderate,"Remove and destroy galls before they rupture and release spores; bag galls before removal; do not compost","Avoid wounding plants from insects, hail, and cultivator damage; avoid dense planting; resistant varieties; crop rotation","No effective fungicide once infection established; seed treatments with Thiram or Metalaxyl reduce early infection","No effective organic treatment for established infection; prevention through crop hygiene only","Hot dry periods followed by rain; temperatures 26-34C; wounding events such as hail and insects precede infection","Teliospores soil-borne and airborne; enter through wounds and growing points; not spread plant-to-plant during season","Caused by Ustilago maydis; considered delicacy called huitlacoche in Mexico; galls should be harvested young at white stage if using as food"
Septoria Leaf Blotch,septoria_leaf_blotch,"Wheat, Barley","Tan to brown irregular blotches on leaves with yellow borders; small black pycnidia (visible with hand lens) scattered within lesions; lesions start on lower leaves and move upward; flag leaf infection dramatically reduces yield",severe,"Apply triazole or strobilurin fungicide at first sign on flag leaf; improve field drainage; avoid overhead irrigation","Resistant varieties; crop rotation; deep tillage to bury infected residue; delayed sowing; balanced nitrogen","Tebuconazole, Propiconazole, Azoxystrobin, Epoxiconazole; timing critical between GS31 and GS39 (stem extension to flag leaf)","Copper fungicides partial protection; Bacillus subtilis biological control","Wet cool conditions 15-22C; rain splash essential for spread; most damaging in high rainfall areas","Rain splash dispersal of pycnidiospores; also airborne ascospores from sexual stage; survives on stubble","Most economically important foliar disease of wheat in temperate regions; fungicide resistance emerging to triazoles and strobilurins"
Fusarium Head Blight,fusarium_head_blight,"Wheat, Barley, Corn, Oat","Pink-orange sporulation on bleached spikelets called tombstone kernels; partial or complete bleaching of heads; severely infected grain shriveled and lightweight; mycotoxin contamination (DON/vomitoxin and zearalenone) makes grain unmarketable or unsafe",critical,"Apply fungicide at early flowering; harvest as soon as possible; dry grain quickly to below 14% moisture; test grain for mycotoxins before use","Resistant varieties; crop rotation away from corn and small grains; deep tillage; avoid late flowering during wet weather","Tebuconazole, Metconazole (Caramba), Prothioconazole (Proline); apply at 50% anthesis (Zadoks 65) for best efficacy","Trichoderma and Bacillus subtilis biological controls as seed treatment","Warm wet conditions 25-30C during flowering; rain events at anthesis critical for infection","Airborne ascospores from corn and wheat residue; macroconidia splash dispersed; infected seed","Mycotoxin contamination is public health concern; DON causes vomiting in pigs and feed refusal; zearalenone causes reproductive failure"
Healthy Leaf,healthy,All crops,"Uniform green coloration appropriate for crop and growth stage; no spots, lesions, pustules, or discoloration; normal leaf texture and turgor; appropriate growth for the season and variety",none,"No treatment needed; continue regular monitoring and good agronomic practices","Continue preventive practices including balanced fertilization, proper irrigation, crop rotation, weed management, and regular weekly scouting during growing season","No pesticide application needed","Continue good soil health practices including compost, cover crops, and beneficial insect habitat","All seasons; healthy plants are better able to resist disease","Not applicable","Regular monitoring is the key to early disease detection; a healthy crop scan is a good outcome; maintain records of scan dates and locations for trend analysis"
